Team,#Players,Average Age,R/G,Games,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,45,29.1,4.50,111,4240,3740,499,886,180,37,118,474,57,20,404,1002,.237,.315,.399,.715,86,1494,68,37,28,31,24,753
ATL,48,27.6,4.82,106,4130,3700,511,959,223,17,115,490,61,23,336,843,.259,.326,.422,.748,104,1561,68,40,31,23,35,749
BAL,49,28.8,3.89,110,4132,3764,428,892,177,9,133,413,38,11,303,957,.237,.299,.395,.694,91,1486,91,39,6,20,17,708
BOS,41,27.5,5.32,111,4313,3870,591,1043,246,21,148,566,87,17,367,851,.270,.337,.459,.795,111,1775,85,41,4,31,23,770
CHC,43,27.0,5.01,109,4347,3802,546,1010,205,24,116,522,49,26,421,906,.266,.345,.424,.769,102,1611,73,57,31,32,48,857
CHW,43,26.6,4.09,109,4071,3706,446,903,177,33,121,437,77,26,283,1036,.244,.303,.407,.711,96,1509,72,44,17,20,12,695
CIN,45,27.3,4.64,109,4280,3753,506,966,179,14,113,488,52,17,417,906,.257,.337,.403,.740,99,1512,92,48,39,23,27,828
CLE,44,29.4,5.12,108,4199,3751,553,971,213,14,151,533,84,20,359,812,.259,.329,.444,.773,104,1665,62,45,16,27,22,750
COL,38,28.7,4.75,109,4120,3702,518,945,182,27,140,497,54,24,338,941,.255,.321,.432,.753,89,1601,74,31,25,24,21,700
DET,40,28.2,3.85,110,4104,3755,424,905,205,24,88,402,53,25,280,899,.241,.298,.379,.677,82,1422,71,37,9,23,14,731
HOU,36,28.2,4.94,111,4244,3765,548,968,200,11,140,528,54,19,391,839,.257,.331,.428,.758,112,1610,104,39,11,33,11,741
KCR,44,29.3,3.72,109,4092,3715,406,894,185,14,95,385,56,24,281,860,.241,.301,.375,.676,85,1392,86,54,15,27,8,729
LAA,52,30.4,4.55,111,4236,3781,505,931,179,13,151,484,57,12,371,874,.246,.319,.420,.740,103,1589,81,49,5,28,31,762
LAD,47,28.1,4.81,111,4301,3774,534,919,197,22,155,500,35,16,428,957,.244,.325,.431,.756,103,1625,77,41,31,27,31,763
MIA,45,28.0,3.80,111,4245,3821,422,931,157,18,89,394,30,21,321,953,.244,.309,.364,.673,90,1391,89,54,19,26,20,795
MIL,49,28.7,4.35,113,4258,3815,492,938,173,15,139,462,85,22,362,1027,.246,.315,.408,.723,92,1558,90,34,20,25,17,752
MIN,45,28.5,4.45,108,4128,3697,481,901,222,19,105,456,36,15,373,909,.244,.315,.399,.714,94,1476,66,22,14,22,22,727
NYM,52,28.8,3.90,107,4034,3567,417,808,168,18,110,402,41,21,378,923,.227,.306,.376,.682,90,1342,85,44,16,29,25,714
NYY,43,27.1,5.18,108,4188,3694,559,941,197,14,175,539,43,15,404,966,.255,.331,.458,.789,111,1691,73,39,8,43,17,752
OAK,46,28.1,4.77,111,4294,3834,530,954,217,16,148,509,25,18,370,947,.249,.321,.430,.751,107,1647,93,53,5,32,11,750
PHI,43,26.3,4.39,109,4170,3671,478,870,167,17,128,461,39,18,413,1046,.237,.319,.396,.715,91,1455,74,39,22,23,25,767
PIT,40,28.0,4.53,110,4151,3716,498,951,189,32,115,480,50,23,332,832,.256,.321,.417,.738,100,1549,73,41,22,37,25,735
SDP,42,27.2,3.71,112,4153,3763,415,874,178,18,95,388,63,28,324,1053,.232,.296,.365,.661,81,1373,86,23,24,19,20,695
SEA,49,29.6,4.15,110,4106,3713,457,949,163,18,123,440,61,27,285,829,.256,.316,.409,.724,101,1517,88,53,25,27,11,725
SFG,43,30.1,4.07,111,4263,3838,452,964,193,20,102,429,43,23,335,968,.251,.315,.392,.706,92,1503,77,36,22,32,33,798
STL,43,28.3,4.46,110,4213,3736,491,927,157,6,136,470,43,24,364,928,.248,.320,.403,.722,96,1504,71,45,34,33,22,755
TBR,50,27.5,4.21,110,4198,3743,463,955,177,24,102,433,71,31,342,952,.255,.327,.397,.724,103,1486,95,71,12,29,9,767
TEX,45,27.4,4.71,111,4274,3765,523,914,183,20,136,494,61,25,398,1063,.243,.323,.410,.734,91,1545,74,62,24,25,14,771
TOR,49,29.7,4.50,109,4139,3715,491,897,213,14,147,470,31,19,355,931,.241,.312,.425,.737,101,1579,78,39,3,27,13,715
WSN,47,27.8,4.63,108,4157,3662,500,910,172,17,131,478,82,24,407,878,.248,.328,.412,.740,94,1509,65,38,23,27,36,758
LgAvg,42,28.2,4.46,110,4193,3744,489,929,189,19,126,467,54,21,358,930,.248,.319,.409,.728,97,1533,79,43,19,28,21,750
total,1252,28.2,4.46,3292,125780,112328,14684,27876,5674,566,3765,14024,1618,634,10742,27888,.248,.319,.409,.728,97,45977,2381,1295,561,825,644,22512
