Team,#Pitchers,Average Age,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,30,29.8,3.88,77,69,.527,3.63,146,146,144,2,8,1,37,1316.1,1169,567,531,160,447,34,1300,50,5,61,5490,121,3.89,1.228,8.0,1.1,3.1,8.9,2.91,974
ATL,35,27.7,4.02,82,64,.562,3.69,146,146,144,2,11,1,37,1316.2,1125,587,540,136,553,39,1279,46,7,56,5547,109,3.92,1.274,7.7,0.9,3.8,8.7,2.31,1010
BAL,28,27.4,5.57,41,104,.283,5.26,145,145,143,2,6,0,23,1279.2,1416,808,748,206,531,29,1066,61,7,77,5700,80,4.97,1.521,10.0,1.4,3.7,7.5,2.01,1053
BOS,23,28.9,3.84,100,46,.685,3.62,146,146,144,2,14,0,42,1314.1,1175,561,529,153,451,5,1405,69,3,44,5536,120,3.72,1.237,8.0,1.0,3.1,9.6,3.12,1032
CHC,34,30.2,4.01,84,61,.579,3.70,145,145,144,1,16,0,42,1314.1,1177,582,541,139,574,30,1184,58,3,39,5592,118,4.17,1.332,8.1,1.0,3.9,8.1,2.06,1067
CHW,30,27.7,5.19,57,89,.390,4.76,146,146,146,0,7,0,32,1297.2,1253,758,687,178,583,23,1143,76,6,80,5695,88,4.70,1.415,8.7,1.2,4.0,7.9,1.96,1044
CIN,32,27.1,5.17,63,84,.429,4.75,147,147,146,1,5,0,34,1310.2,1374,760,692,214,498,58,1143,45,8,39,5741,87,4.75,1.428,9.4,1.5,3.4,7.8,2.30,1049
CLE,27,29.4,4.03,82,64,.562,3.80,146,146,141,5,15,2,39,1308.1,1215,589,552,183,355,26,1387,53,2,47,5434,116,3.79,1.200,8.4,1.3,2.4,9.5,3.91,920
COL,21,27.9,4.76,80,65,.552,4.50,145,145,145,0,7,0,47,1295.0,1237,690,647,168,480,23,1255,47,8,64,5515,104,4.13,1.326,8.6,1.2,3.3,8.7,2.61,940
DET,25,28.7,4.73,59,87,.404,4.44,146,146,146,0,2,0,33,1287.1,1259,690,635,191,443,18,1092,53,3,47,5501,99,4.54,1.322,8.8,1.3,3.1,7.6,2.47,949
HOU,22,30.1,3.30,92,54,.630,3.11,146,146,143,3,11,2,40,1313.0,1053,482,453,136,391,4,1531,60,4,60,5341,128,3.20,1.100,7.2,0.9,2.7,10.5,3.92,920
KCR,26,27.8,5.21,49,96,.338,5.05,145,145,143,2,8,0,29,1280.0,1363,756,718,187,506,26,1048,50,3,58,5616,86,4.72,1.460,9.6,1.3,3.6,7.4,2.07,1020
